index,station,lines,url
20,Blackfriars,OD,https://www.google.com/maps?q=Blackfriars+Underground+station
50,Clapham South,N,https://www.google.com/maps?q=Clapham+South+Underground+station
71,Elephant & Castle,BN,https://www.google.com/maps?q=Elephant+&+Castle+Underground+station
95,Hammersmith,OH,https://www.google.com/maps?q=Hammersmith+Underground+station
100,Harrow-on-the-Hill,M,https://www.google.com/maps?q=Harrow-on-the-Hill+Underground+station
102,Heathrow Terminals 2 & 3,P,https://www.google.com/maps?q=Heathrow+Terminals+2+&+3+Underground+station
104,Heathrow Terminal 5,P,https://www.google.com/maps?q=Heathrow+Terminal+5+Underground+station
107,Highbury & Islington,V,https://www.google.com/maps?q=Highbury+&+Islington+Underground+station
109,High Street Kensington,OD,https://www.google.com/maps?q=High+Street+Kensington+Underground+station
117,Hounslow West,P,https://www.google.com/maps?q=Hounslow+West+Underground+station
122,Kensington (Olympia),D,https://www.google.com/maps?q=Kensington+(Olympia)+Underground+station
126,Kilburn,J,https://www.google.com/maps?q=Kilburn+Underground+station
195,Ruislip,MP,https://www.google.com/maps?q=Ruislip+Underground+station
